Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract
Srivastava H.M.; Breaz D.; Alburaikan A.; El-Deeb S.M.,"Srivastava, Hari M. (23152241800); Breaz, Daniel (16309102000); Alburaikan, Alhanouf (57223036389); El-Deeb, Sheza M. (35421883900)",23152241800; 16309102000; 57223036389; 35421883900,Upper bound for the second and third Hankel determinants of analytic functions associated with the error function and q-convolution combination,2024.0,Journal of Inequalities and Applications,2024.0,1,89.0,,,,10.1186/s13660-024-03151-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197524241&doi=10.1186%2fs13660-024-03151-z&partnerID=40&md5=dd30da4876210acc28076aa7ec29a84f,"Recently, El-Deeb and Cotîrlă (Mathematics 11:11234834, 2023) used the error function together with a q-convolution to introduce a new operator. By means of this operator the following class Rα,ϒλ,q(δ,η) of analytic functions was studied: (Formula presented.) For these general analytic functions F∈Rβ,ϒλ,q(δ,η), we give upper bounds for the Fekete–Szegö functional and for the second and third Hankel determinants. © The Author(s) 2024."
Björklund J.,"Björklund, Johanna (55416017300)",55416017300,The impact of state merging on predictive accuracy in probabilistic tree automata: Dietze's conjecture revisited,2024.0,Journal of Computer and System Sciences,146.0,,103563.0,,,,10.1016/j.jcss.2024.103563,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198610979&doi=10.1016%2fj.jcss.2024.103563&partnerID=40&md5=586bb62f2940380359e2f491dc2b3ca5,"Dietze's conjecture concerns the problem of equipping a tree automaton M with weights to make it probabilistic, in such a way that the resulting automaton N predicts a given corpus C as accurately as possible. The conjecture states that the accuracy cannot increase if the states in M are merged with respect to an equivalence relation ∼ so that the result is a smaller automaton M∼. Put differently, merging states can never improve predictions. This is under the assumption that both M and M∼ are bottom-up deterministic and accept every tree in C. We prove that the conjecture holds, using a construction that turns any probabilistic version N∼ of M∼ into a probabilistic version N of M, such that N assigns at least as great a weight to each tree in C as N∼ does. © 2024 The Author(s)"
Watford M.; Clark K.M.; Can C.,"Watford, Mark (57222489130); Clark, Kathleen Michelle (56820842600); Can, Cihan (57221643491)",57222489130; 56820842600; 57221643491,New Methods of Capturing Students’ Experiences with Primary Source Projects: Pioneering a Transgressive Lens,2025.0,Mathematics Enthusiast,22.0,01-Feb,,149.0,181.0,32.0,10.54870/1551-3440.1656,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199334335&doi=10.54870%2f1551-3440.1656&partnerID=40&md5=cd825c3ef8e8b14f4e4f50c5e1a77350,"The mathematics education research landscape possesses limited examples of large-scale research regarding students’ experience with primary historical sources in the learning of mathematics at the undergraduate level. However, the field continues to investigate methods of determining how students might overcome obstacles to reach new outcomes. This article documents an exploration within the TRansforming Instruction in Undergraduate Mathematics via Primary Historical Sources (TRIUMPHS) project that combined transgressions theory and situated learning theory, thereby illuminating three components of the former—boundaries, transgressive actions, and outcomes. In this regard, we capture students’ Primary Source Project (PSP) learning experiences in Abstract Algebra courses and bring attention to the challenges in delineating these elements due to drawing upon data not initially collected with transgressions or situated learning theory in mind. Despite this limitation, we underscore the potential of utilizing the transgressions framework in the analysis of students’ unorthodox learning experiences, such as with PSPs, and provide insights for future studies in the field. © The Author(s) & Dept. of Mathematical Sciences-The University of Montana"
Aris N.Md.; Ibrahim N.H.; Halim N.D.A.,"Aris, Norliyana Md. (59121406700); Ibrahim, Nor Hasniza (56236896400); Halim, Noor Dayana Abd (57525022100)",59121406700; 56236896400; 57525022100,Design and Development Research (DDR) Approach in Designing Design Thinking Chemistry Module to Empower Students' Innovation Competencies,2025.0,Journal of Advanced Research in Applied Sciences and Engineering Technology,44.0,1,,55.0,68.0,13.0,10.37934/araset.44.1.5568,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192861039&doi=10.37934%2faraset.44.1.5568&partnerID=40&md5=0acc0953f0711f7fe0620f31519fbf6d,"Design and evaluation processes to provide an empirical basis for producing instructional and non-instructional products, tools, and new or improved development models. This method uses various methods, including qualitative and quantitative techniques, and thoroughly examines the literature. The design and development of this chemistry module using design thinking to empower students' innovation competencies are described in this article. The main challenge for the teaching implementation process that is capable of mastering the skills of generating new ideas and solving problems in the real world is preparing teaching materials, consuming time, and putting pressure on the teacher. Teachers need more support resources to translate the expected teaching practices. This effort aims to generate a new perspective in education, especially chemistry education, in developing student innovation competence in secondary schools in Malaysia. Therefore, this study aims to discuss the design and development research (DDR) approach used to develop a design thinking chemistry module using a DDR approach. The researcher will go through three study phases and use several different research approaches in each phase. In the first phase, the researcher investigated the teachers' needs in their pedagogy used in teaching and students' innovation competencies. The second phase is the design and development phase, involving the consensus of twelve experts in various fields, such as chemistry/science, technology, engineering, and mathematics (STEM), curriculum development, module construction experts, and research and innovation planning experts. Consequently, the final phase is implementation and evaluation, focusing on determining the module's effectiveness in teaching and learning. Expert consensus is the primary input in developing modules in Malaysian chemistry education. Malaysian education needs to bring a different educational paradigm and teaching strategy, which includes the impact of teacher pedagogy through design thinking in the future. The conclusion of this article proposes a conceptual framework for the research to contribute to the advancement of design thinking and chemistry education. © 2025, Semarak Ilmu Publishing. All rights reserved."
Shahab M.L.; Susanto H.,"Shahab, Muhammad Luthfi (57189488592); Susanto, Hadi (15124561400)",57189488592; 15124561400,Neural networks for bifurcation and linear stability analysis of steady states in partial differential equations,2024.0,Applied Mathematics and Computation,483.0,,128985.0,,,,10.1016/j.amc.2024.128985,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200488040&doi=10.1016%2fj.amc.2024.128985&partnerID=40&md5=bd91cf782c6faae67d333125b5f049bd,"This research introduces an extended application of neural networks for solving nonlinear partial differential equations (PDEs). A neural network, combined with a pseudo-arclength continuation, is proposed to construct bifurcation diagrams from parameterized nonlinear PDEs. Additionally, a neural network approach is also presented for solving eigenvalue problems to analyze solution linear stability, focusing on identifying the largest eigenvalue. The effectiveness of the proposed neural network is examined through experiments on the Bratu equation and the Burgers equation. Results from a finite difference method are also presented as comparison. Varying numbers of grid points are employed in each case to assess the behavior and accuracy of both the neural network and the finite difference method. The experimental results demonstrate that the proposed neural network produces better solutions, generates more accurate bifurcation diagrams, has reasonable computational times, and proves effective for linear stability analysis. © 2024 The Author(s)"
Ro H.K.; Aguilar-Smith S.; Anderson S.Y.; Rodriguez T.; Ramon E.J.; Javier D.,"Ro, Hyun Kyoung (47962420500); Aguilar-Smith, Stephanie (57211410733); Anderson, Shirley Yang (59224739500); Rodriguez, Tricia (59225028300); Ramon, Elizabeth J. (57253741400); Javier, Damaris (57199167469)",47962420500; 57211410733; 59224739500; 59225028300; 57253741400; 57199167469,Attending to STEM education in servingness at Hispanic-serving institutions: a systematic review of more than a decade of scholarship,2024.0,International Journal of STEM Education,11.0,1,33.0,,,,10.1186/s40594-024-00489-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199009121&doi=10.1186%2fs40594-024-00489-0&partnerID=40&md5=f0670312f95a4a2c5745ec6fe755196a,"Background, context, and purpose of the study: Enrolling over 60% of all Latinx undergraduate students, Hispanic-serving institutions (HSIs) are poised to play a critical role in diversifying and strengthening Science, Technology, Engineering, and Mathematics (STEM) education and the STEM workforce. However, how HSIs serve STEM students is not well understood. Accordingly, guided by Garcia et al. (Review of Educational Research 89:5–745, 2019) multidimensional servingness framework, we conducted a systematic review of the research on STEM education within the HSI context. By attending to STEM education in conversations around how HSIs may serve Latinx students and their campus communities, our ultimate aim is to improve STEM education particularly at HSIs and advance STEM servingness more broadly. Results, main findings: Through our systematic review of STEM education research at HSIs, we identified (under)studied components of servingness and gaps within this literature base. Specifically, among the 128 qualifying articles, nearly two-thirds focused on student outcomes but overlooked institutions’ organizational context, raising questions about the effect(iveness) of the studied interventions. Additionally, we identified three thematic gaps in this literature: ghosting the HSI context (i.e., relying on HSIs as research sites without considering the unique HSI context); ghosting Latinx culture (i.e., decentering Latinx students and the Latinx community’s sociocultural aspects and assets), and ghosting people and places (i.e., under-examining certain student populations like Latino men in STEM and places like Hispanic-serving community colleges). Ultimately, our study extends the field’s understanding of servingness by attending to STEM education within the context of HSI institutions. Conclusions, brief summary, and potential implications: By systematically reviewing studies on STEM education at HSIs, we identified (under)studied components of servingness and patterned gaps within this literature. In doing so, we highlight opportunities to advance STEM servingness at HSIs through future research, policy, and practice. Collectively, these avenues hold the promise of improving STEM education and diversifying the STEM workforce. © The Author(s) 2024."
Zhou S.; Zhang Y.; Liu H.,"Zhou, Sizhong (14017194700); Zhang, Yuli (51061795900); Liu, Hongxia (55719337000)",14017194700; 51061795900; 55719337000,Spanning k-trees and distance signless Laplacian spectral radius of graphs,2024.0,Discrete Applied Mathematics,358.0,,,358.0,365.0,7.0,10.1016/j.dam.2024.07.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199717634&doi=10.1016%2fj.dam.2024.07.010&partnerID=40&md5=db51b42df801cd8335d78c73d4696a9c,"A spanning k-tree of a connected graph G is a spanning tree in which each vertex admits degree at most k. It is easy to see that a spanning 2-tree is a Hamiltonian path. Hence, a spanning k-tree is an extended concept of a Hamiltonian path. Let Q(G) denote the distance signless Laplacian matrix of a graph G. The largest eigenvalue η1(G) of Q(G) is called the distance signless Laplacian spectral radius of G. Liu and Li characterized a connected graph with a perfect matching with respect to the distance signless Laplacian spectral radius (Liu and Li, 2021). Win characterized a connected graph with a spanning k-tree via the number of connected components (Win, 1989). Motivated by Liu and Li's and Win's results, in this paper we investigate the relations between the spanning k-tree and the distance signless Laplacian spectral radius in a connected graph and prove an upper bound for η1(G) in a connected graph G to guarantee the existence of a spanning k-tree. © 2024 Elsevier B.V."
Martinez J.S.G.; Maza E.J.R.; Meza A.J.N.; Huamaní E.L.; Meyluz P.C.,"Martinez, Josue Steven Gutierrez (59161397400); Maza, Edward Jhonathan Roman (59160927000); Meza, Aldring Jeremi Navarro (59161710700); Huamaní, Enrique Lee (57210377414); Meyluz, Paico Campos (59161085600)",59161397400; 59160927000; 59161710700; 57210377414; 59161085600,Implementation of an Academic Software for Children from 6 to 8 Years Old for Easy Learning in Basic Mathematics and Reading Comprehension,2025.0,Journal of Advanced Research in Applied Sciences and Engineering Technology,45.0,2,,38.0,55.0,17.0,10.37934/araset.45.2.3855,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195292817&doi=10.37934%2faraset.45.2.3855&partnerID=40&md5=9219c9c1900382bfe7b1a65bb0c47360,"Nowadays teaching has not improved talking about the methods to get to interest the student or want to learn, it is not common for schools to have a didactic and innovative curriculum, we continue to maintain in do the same learning format of years ago and it is one of the areas in which we do not evolve compared to others. As we well know, among the most important foundations in education are the reading comprehension and mathematics courses, because these are the pillars to have facilities in learning with other courses in the future and that is why it is important to ensure the knowledge of these courses in childhood so that these students do not present difficulties to learn in the future. That is why in the part of basic education we see important the implementation of an educational software for children, to improve their motor capacity in terms of learning the area of mathematics and reading comprehension, since relying on statistical data we realized that the levels of knowledge in these courses, They are not the desired ones, therefore, we agreed to project a new way of learning so that children can be interested in wanting to learn, for this we develop a plan in which it is proposed to implement educational games, memory games, didactic reading, among others, all this to ensure that children improve their learning through new learning methodologies. © 2025, Semarak Ilmu Publishing. All rights reserved."
Wang W.; Yi P.; Kou T.; Han W.; Wang C.,"Wang, Wenbo (58127170400); Yi, Peng (24485753300); Kou, Taotao (58128451400); Han, Weitao (57209516612); Wang, Chengyu (59231682400)",58127170400; 24485753300; 58128451400; 57209516612; 59231682400,GLDOC: detection of implicitly malicious MS-Office documents using graph convolutional networks,2024.0,Cybersecurity,7.0,1,48.0,,,,10.1186/s42400-024-00243-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199443862&doi=10.1186%2fs42400-024-00243-7&partnerID=40&md5=86e293132f5efb5cc2fb9c0c6b3f4c10,"Nowadays, the malicious MS-Office document has already become one of the most effective attacking vectors in APT attacks. Though many protection mechanisms are provided, they have been proved easy to bypass, and the existed detection methods show poor performance when facing malicious documents with unknown vulnerabilities or with few malicious behaviors. In this paper, we first introduce the definition of im-documents, to describe those vulnerable documents which show implicitly malicious behaviors and escape most of public antivirus engines. Then we present GLDOC—a GCN based framework that is aimed at effectively detecting im-documents with dynamic analysis, and improving the possible blind spots of past detection methods. Besides the system call which is the only focus in most researches, we capture all dynamic behaviors in sandbox, take the process tree into consideration and reconstruct both of them into graphs. Using each line to learn each graph, GLDOC trains a 2-channel network as well as a classifier to formulate the malicious document detection problem into a graph learning and classification problem. Experiments show that GLDOC has a comprehensive balance of accuracy rate and false alarm rate − 95.33% and 4.33% respectively, outperforming other detection methods. When further testing in a simulated 5-day attacking scenario, our proposed framework still maintains a stable and high detection accuracy on the unknown vulnerabilities. © The Author(s) 2024."
Molina-Díaz O.E.; Olivar-Tost G.; Sotelo-Castelblanco D.M.,"Molina-Díaz, Oscar Emilio (59224533400); Olivar-Tost, Gerard (57194406680); Sotelo-Castelblanco, Deissy Milena (58554143800)",59224533400; 57194406680; 58554143800,Dynamics of a stockless market through piecewise smooth models,2024.0,Mathematics and Computers in Simulation,226.0,,,246.0,269.0,23.0,10.1016/j.matcom.2024.07.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198940955&doi=10.1016%2fj.matcom.2024.07.009&partnerID=40&md5=0bd3c38fce6ff44961f521069a1d3556,"Markets play a crucial role in the economic activity of any country, serving as fundamental drivers of growth, development, and employment. Given their significance, understanding the dynamics of markets is essential. In this study, we present a mathematical model to characterize the behavior of a stockless market. The model is formulated using a system of ordinary differential equations defined with piecewise smooth functions. We conduct a mathematical analysis of the model, particularly focusing on the behavior of trajectories as they approach switching surfaces using Filippov's analysis. Furthermore, we provide numerical simulations to visually illustrate the model's dynamics and a insights a brief study of bifurcations is done. © 2024 International Association for Mathematics and Computers in Simulation (IMACS)"
